id,query,min,max,index_ref,penalty_per_violation
0,Survived >= 0,200,200,-1,1
1,Survived == 1,0.45,0.55,0,1
2,Survived == 0,0.45,0.55,0,1
3,Survived == 1 & Sex == 'female',0.49,0.51,1,1
4,Survived == 0 & Sex == 'female',0.49,0.51,2,1
5,Survived == 1 & Pclass == 1,0.30,0.35,1,1
6,Survived == 1 & Pclass == 2,0.30,0.35,1,1
7,Survived == 1 & Pclass == 3,0.30,0.35,1,1
8,Survived == 0 & Pclass == 1,0.30,0.35,2,1
9,Survived == 0 & Pclass == 2,0.30,0.35,2,1
10,Survived == 0 & Pclass == 3,0.30,0.35,2,1
11,Survived == 0 & Pclass == 1 & Sex == 'female',0.28,0.35,8,1
12,Age < 20,0.24,0.26,0,1
13,Age < 30 & Age >= 20,0.24,0.26,0,1
14,Age < 40 & Age >= 30,0.24,0.26,0,1
15,Age >= 40,0.24,0.26,0,1
